Year,Emission (tonnes CO2e)
2005,5432556.41
2006,5367365.73308
2007,5302175.05616
2008,5236984.37924
2009,5171793.70232
2010,5106603.0254
2011,5041412.34848
2012,4976221.67156
2013,4911030.99464
2014,4845840.31772
2015,4780649.6408
2016,4715458.96388
2017,4650268.28696
2018,4585077.61004
2019,4519886.93312
2020,4454696.2562
2021,4389505.57928
2022,4324314.90236
2023,4259124.22544
2024,4193933.5485199997
2025,4128742.8715999997
2026,4063552.1946799997
2027,3998361.5177599997
2028,3933170.8408399997
2029,3867980.1639199997
2030,3802789.4869999997
