Reference Year,Actual (tonnes CO2e),Target (tonnes CO2e)
2004,107000.0,1577000.0
2005,104326.5,1562500.0
2006,99608.03,1548000.0
2007,101962.46,1533500.0
2008,98589.0,1519000.0
2009,74103.0,1504500.0
2010,62811.0,1490000.0
2011,65117.22,1475500.0
2012,52648.95,1461000.0
2013,59519.14,1446500.0
2014,55466.36,1432000.0
2015,50305.41,1417500.0
2016,55078.68,1403000.0
2017,98826.3,1388500.0
2018,95582.13,1374000.0
2019,85012.01,1359500.0
2020,80829.17,1345000.0
2021,95132.7,1330500.0
2022,52146.23,1316000.0
2023,53167.21,1301500.0
